Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2021-10-08T16:34:39Z,Buy,BTC,0.00239564,USD,54641.2,130.9,136.13,5.23,Bought 0.00239564 BTC for $136.13 USD
2021-10-08T21:48:53Z,Buy,BTC,0.00240879,USD,54351.71,130.92,136.15,5.23,Bought 0.00240879 BTC for $136.15 USD
2021-10-13T03:50:03Z,Receive,BTC,0.00148327,USD,56302.41,,,,Received 0.00148327 BTC from an external account
2021-11-01T23:51:45Z,Receive,BTC,0.000164,USD,61160.76,,,,Received 0.000164 BTC from Coinbase Referral
2021-11-16T14:15:33Z,Buy,BTC,0.00949886,USD,61165.73,581,604.19,23.19,Bought 0.00949886 BTC for $604.19 USD
2021-11-23T14:13:14Z,Buy,BTC,0.00673325,USD,57285.39,385.72,401.11,15.39,Bought 0.00673325 BTC for $401.11 USD
2021-11-26T18:45:24Z,Buy,BTC,0.00117093,USD,54682.8,64.03,66.68,2.65,Bought 0.00117093 BTC for $66.68 USD
2021-11-30T21:19:14Z,Buy,BTC,0.00883728,USD,57903.98,511.71,532.13,20.42,Bought 0.00883728 BTC for $532.13 USD
2021-12-04T12:18:52Z,Buy,BTC,0.00133799,USD,47481.1,63.53,66.16,2.63,Bought 0.00133799 BTC for $66.16 USD
2021-12-16T18:17:44Z,Buy,BTC,0.00211343,USD,48472.59,102.44,106.53,4.09,Bought 0.00211343 BTC for $106.53 USD
2021-12-23T00:30:19Z,Send,BTC,0.00155709,USD,48179.58,,,,Sent 0.00155709 BTC to 3LLC3csNMnNrbjNFAwYk225szhe9ehhVt3
2021-12-31T12:17:14Z,Buy,BTC,0.0026844,USD,48271.56,129.58,134.75,5.17,Bought 0.0026844 BTC for $134.75 USD
2021-12-31T20:11:08Z,Buy,BTC,0.00280444,USD,46401.32,130.13,135.33,5.2,Bought 0.00280444 BTC for $135.33 USD
2022-01-05T20:41:14Z,Buy,BTC,0.00292313,USD,44596.97,130.36,135.57,5.21,Bought 0.00292313 BTC for $135.57 USD
2021-08-09T20:49:32Z,Buy,ETH,0.04306025,USD,3092.32,133.16,138.47,5.31,Bought 0.04306025 ETH for $138.47 USD
2021-09-09T07:11:34Z,Buy,ETH,0.03794058,USD,3490.9,132.45,137.74,5.29,Bought 0.03794058 ETH for $137.74 USD
2021-10-14T23:11:48Z,Convert,ETH,0.02638985,USD,3789.34,100,100,0,Converted 0.02638985 ETH to 0.02638985 ETH2
2021-10-15T00:18:54Z,Convert,ETH,0.05274978,USD,3791.49,200,200,0,Converted 0.05274978 ETH to 0.05274978 ETH2
2021-11-01T23:47:57Z,Convert,ETH,0.01618282,USD,4325.57,70,70,0,Converted 0.01618282 ETH to 0.01618282 ETH2
2021-11-12T21:59:27Z,Convert,ETH,0.00138912,USD,4650.43,6.34,6.46,0.12,Converted 0.00138912 ETH to 0.00009891 BTC
2021-10-05T14:08:25Z,Buy,LTC,0.444,USD,172.69,76.68,80.75,4.07,Bought 0.4440 LTC for $80.75 USD
2021-10-05T14:09:33Z,Send,LTC,0.4424342,USD,171.47,,,,Sent 0.4424342 LTC to ME5eyQg5MbskfoSgXUXRLP4QNe11VHBcqW
2021-11-26T17:57:15Z,Buy,LTC,3.1,USD,199.49,618.41,643.08,24.67,Bought 3.1000 LTC for $643.08 USD
2021-11-26T17:59:36Z,Send,LTC,3.0140142,USD,198.18,,,,Sent 3.0140142 LTC to M9ZHc85brgETuzTTQtnfteEAexs8DtJFaJ
2021-11-26T18:44:08Z,Convert,LTC,0.0884803,USD,196.88,17.1,17.42,0.32,Converted 0.0884803 LTC to 0.0003148 BTC
