unix,low,high,open,close,volume,date,vol_fiat
1659312000,0.06682,0.07132,0.0681,0.06845,274306714.7,2022-08-01,18776294.621214997
1659398400,0.06548,0.06914,0.06849,0.06654,189130183.2,2022-08-02,12584722.390128
1659484800,0.06511,0.06845,0.06653,0.06626,149724167.4,2022-08-03,9920723.331924
1659571200,0.06573,0.06764,0.06625,0.06725,145496443.4,2022-08-04,9784635.818650002
1659657600,0.06718,0.07031,0.06727,0.0698,203664002.5,2022-08-05,14215747.3745
1659744000,0.06841,0.07131,0.0698,0.06864,174260119.9,2022-08-06,11961214.629936002
1659830400,0.06738,0.07003,0.06864,0.06896,114994882.0,2022-08-07,7930047.062719999
1659916800,0.06884,0.07257,0.06896,0.07015,236966343.1,2022-08-08,16623188.968465
1660003200,0.06777,0.07427,0.07013,0.06906,359548885.9,2022-08-09,24830446.060253996
1660089600,0.06659,0.07151,0.06905,0.07129,265759297.3,2022-08-10,18945980.304517
1660176000,0.07043,0.0755,0.07129,0.0709,250472396.9,2022-08-11,17758492.940210003
1660262400,0.06972,0.07276,0.0709,0.07235,152581575.4,2022-08-12,11039276.98019
1660348800,0.07185,0.0752,0.07234,0.07295,246962097.4,2022-08-13,18015885.00533
1660435200,0.07264,0.08472,0.07298,0.08169,852474935.0,2022-08-14,69638677.44015
1660521600,0.07472,0.0821,0.08173,0.07664,550844238.2,2022-08-15,42216702.415648006
1660608000,0.07617,0.09,0.07662,0.08679,1176815546.0,2022-08-16,102135821.23734
1660694400,0.07937,0.08895,0.08676,0.08022,603724198.6,2022-08-17,48430755.211692005
1660780800,0.07344,0.08228,0.08022,0.07474,336070310.5,2022-08-18,25117895.00677
1660867200,0.06704,0.07532,0.07472,0.06774,594237271.7,2022-08-19,40253632.784958
1660953600,0.06762,0.07121,0.06774,0.06936,356612522.8,2022-08-20,24734644.581408
1661040000,0.06737,0.07075,0.06932,0.06935,234799811.7,2022-08-21,16283366.941394998
1661126400,0.06518,0.06944,0.0693,0.06839,268953944.9,2022-08-22,18393760.291711
1661212800,0.06686,0.06924,0.0684,0.06881,167529656.8,2022-08-23,11527715.684408
1661299200,0.06703,0.06965,0.06884,0.06791,173316707.5,2022-08-24,11769937.606325
1661385600,0.06763,0.07183,0.06791,0.06899,203145816.3,2022-08-25,14015029.866537
1661472000,0.06274,0.07022,0.06898,0.06354,395618167.7,2022-08-26,25137578.375657998
1661558400,0.06221,0.06415,0.06351,0.06353,238265430.7,2022-08-27,15137002.812371
1661644800,0.0613,0.06433,0.06351,0.06178,186392890.8,2022-08-28,11515352.793624
1661731200,0.06086,0.0641,0.06178,0.06387,167462303.0,2022-08-29,10695817.292609999
1661817600,0.06007,0.06449,0.06386,0.06157,153516653.5,2022-08-30,9452020.355995
1661904000,0.06072,0.06348,0.06156,0.06133,176599398.0,2022-08-31,10830841.07934
1661990400,0.05988,0.06262,0.06133,0.06238,168079123.4,2022-09-01,10484775.717692
1662076800,0.0607,0.06288,0.06238,0.06167,128248988.1,2022-09-02,7909115.096127
1662163200,0.06114,0.06403,0.06164,0.06273,176378732.3,2022-09-03,11064237.877179
1662249600,0.06187,0.06391,0.06273,0.06321,142489292.0,2022-09-04,9006748.14732
1662336000,0.06093,0.06374,0.06322,0.06275,129984701.0,2022-09-05,8156539.98775
1662422400,0.05803,0.06525,0.06273,0.0589,315809170.2,2022-09-06,18601160.12478
1662508800,0.05739,0.06155,0.05886,0.06098,170841971.8,2022-09-07,10417943.440364001
1662595200,0.05964,0.06142,0.06099,0.06098,127799080.7,2022-09-08,7793187.941086
1662681600,0.06089,0.06493,0.061,0.06388,266931725.2,2022-09-09,17051598.605776
1662768000,0.06316,0.06557,0.06388,0.06472,246941145.4,2022-09-10,15982030.930288
1662854400,0.06263,0.06533,0.06475,0.06371,182493803.5,2022-09-11,11626680.220985001
1662940800,0.06261,0.06544,0.06372,0.06397,177047419.8,2022-09-12,11325723.444606
1663027200,0.05923,0.06419,0.06395,0.05967,260943603.3,2022-09-13,15570504.808911001
1663113600,0.05918,0.06156,0.05967,0.06118,264423185.5,2022-09-14,16177410.48889
1663200000,0.05851,0.06124,0.06117,0.05865,259043001.6,2022-09-15,15192872.04384
1663286400,0.05814,0.06055,0.05866,0.06049,247796881.0,2022-09-16,14989233.33169
1663372800,0.06024,0.06241,0.06048,0.06221,201265868.3,2022-09-17,12520749.666943
1663459200,0.05635,0.06224,0.06222,0.05743,151792593.0,2022-09-18,8717448.61599
1663545600,0.05589,0.05885,0.05745,0.05856,204254941.4,2022-09-19,11961169.368384
1663632000,0.05759,0.06063,0.05855,0.05843,292597482.9,2022-09-20,17096470.925846998
1663718400,0.05607,0.06094,0.05841,0.05718,406989260.1,2022-09-21,23271645.892518003
1663804800,0.05684,0.06011,0.05717,0.0596,250665152.4,2022-09-22,14939643.08304
1663891200,0.05911,0.06432,0.05958,0.06335,536670713.0,2022-09-23,33998089.66855
1663977600,0.06246,0.06832,0.06332,0.06308,447487284.3,2022-09-24,28227497.893644
1664064000,0.06006,0.06389,0.06308,0.06119,192438544.8,2022-09-25,11775314.556312
1664150400,0.05978,0.06187,0.06117,0.06114,180521696.6,2022-09-26,11037096.530124
1664236800,0.05975,0.06307,0.06114,0.0605,266352137.5,2022-09-27,16114304.31875
1664323200,0.05849,0.06112,0.0605,0.06049,140863616.0,2022-09-28,8520840.13184
1664409600,0.05927,0.06108,0.06049,0.06087,100076924.3,2022-09-29,6091682.382141
1664496000,0.05959,0.06225,0.06087,0.06168,201010580.4,2022-09-30,12398332.599072
1664582400,0.06026,0.06314,0.06167,0.06052,191000309.4,2022-10-01,11559338.724888
